smiles,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,Delivery_target_lymph_nodes,chronic_toxicity_none,acute_toxicity_none,acute_toxicity_present,Delivery_target_dendritic_cell,Delivery_target_generic_cell,Delivery_target_macrophage,Delivery_target_lung_epithelium,Delivery_target_liver,Delivery_target_lung,Delivery_target_spleen,Delivery_target_muscle
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CCCCCCCCC(OCCCCCCN1CCC[C@H]1COC(OC[C@@H]2CCCN2CCCCCCOC(CCCCCCCC)=O)=O)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCN1[C@H](COC(OC[C@@H]2CCCN2CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)=O)CCC1,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCCOC(CCCCCCCC)=O)CCOC(OCCN(CCCCCCOC(CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
CN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)CCOC(OCCN(CCCCCC(OC(CCCCCCCC)CCCCCCCC)=O)C)=O,,,,,,,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
