Route_of_administration_intramuscular,Route_of_administration_intratracheal,Route_of_administration_intravenous,Model_type_A549,Model_type_BDMC,Model_type_BMDM,Model_type_HBEC_ALI,Model_type_HEK293T,Model_type_HeLa,Model_type_IGROV1,Model_type_Mouse,Model_type_RAW264p7,Cargo_type_mRNA,Cargo_type_pDNA,Cargo_type_siRNA,size,PDI
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,150,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,89.23,0.2 ~ 0.3
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,89.23,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,96.92,0.2 ~ 0.3
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,96.92,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,326.7,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,175.6,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,109.7,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,67.44,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,72.24,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,100.6,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,171.1,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,91.41,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,97.06,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,233.2,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,137.7,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,125.2,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,83.24,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,118.6,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,7061,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,257.4,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,87.88,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,95.94,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,71.92,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,78.03,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,87.67,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,95.7,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,109.5,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,128.7,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,88.52,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,83.64,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,82.51,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,109.8,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,140.6,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,85.65,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,105.6,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,170.6,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,72.49,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,63.15,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,77.88,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,759.7,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,117,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,69.46,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,69.46,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,70.34,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,70.34,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,5793,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,89.85,0.2 ~ 0.3
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,89.85,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,86.73,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,86.73,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,66.46,0.0 ~ 0.2
0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,66.46,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,81.61,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,83.22,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,97.28,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,104.3,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,93.79,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,79.83,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,65.05,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,82.78,0.2 ~ 0.3
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,85.25,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,79.92,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,80.01,0.0 ~ 0.2
1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,66.66,0.0 ~ 0.2
