Cationic_Lipid_Mol_Ratio,Phospholipid_Mol_Ratio,Cholesterol_Mol_Ratio,PEG_Lipid_Mol_Ratio,Cationic_Lipid_to_mRNA_weight_ratio,Helper_lipid_ID
41.02564103,30.76923077,25.64102564,2.564102564,14.72896002,DOPE
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,17.98993052,DOPE
37.83783784,37.83783784,21.62162162,2.702702703,13.26769266,DOPE
35.8974359,41.02564103,20.51282051,2.564102564,12.69845587,DOPE
54.90196078,23.52941176,19.60784314,1.960784314,17.73864775,DOPE
52.83018868,26.41509434,18.86792453,1.886792453,17.22254695,DOPE
50.90909091,29.09090909,18.18181818,1.818181818,16.73562869,DOPE
43.24324324,32.43243243,21.62162162,2.702702703,14.73441264,DOPE
39.02439024,39.02439024,19.51219512,2.43902439,13.55362203,DOPE
41.02564103,30.76923077,25.64102564,2.564102564,14.4082575,DOPE
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,17.98993052,DOPE
32.96703297,21.97802198,43.95604396,1.098901099,13.54771521,DOPE
41.32231405,16.52892562,41.32231405,0.826446281,16.03951812,DOPE
27.02702703,32.43243243,37.83783784,2.702702703,10.8033785,DOPE
25,40,30,5,9.298704135,DOPE
38.46153846,21.97802198,38.46153846,1.098901099,14.90666525,DOPE
40,34.28571429,22.85714286,2.857142857,13.89035919,DOPE
34.65346535,39.6039604,24.75247525,0.99009901,12.97231927,DOPE
41.86046512,37.20930233,18.60465116,2.325581395,14.30278396,DOPE
50,10,38.5,1.5,14.78083639,DOPE
50,10,38.5,1.5,14.67100244,DSPC
54.90196078,23.52941176,19.60784314,1.960784314,11.7812451,DSPC
54.90196078,23.52941176,19.60784314,1.960784314,18.01459482,DOPE
50,10,38.5,1.5,14.67100244,DSPC
50,10,38.5,1.5,18.26075368,DOPE
30.9,36.3,25.9,6.9,10.85564,DOPE
33.7,32.2,28.8,5.4,12.10629825,DOPE
21.5,44.3,27.4,6.7,8.076607527,DOPE
28.5,36.9,23.3,11.4,9.262126773,DOPE
47,40.4,5.7,6.8,14.14390228,DOPE
48.5,10,40,1.5,17.98206341,DOPE
41,39.5,16,3.5,13.95064466,DOPE
31.3333,31.3333,31.3333,6,11.40653622,DOPE
50,23.5,23.5,3,16.77836699,DOPE
22,22,50,6,9.200348974,DOPE
27,27,41,5,10.72417162,DOPE
16,39.5,41,3.5,7.092439729,DOPE
39.5,16,41,3.5,14.93804335,DOPE
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,17.98206341,DOPE
41,39.5,16,3.5,13.95064466,DOPE
50,23.5,23.5,3,16.77836699,DOPE
39.5,16,41,3.5,14.93804335,DOPE
41,40,16,3,14.07835597,DOPE
32.3,32.3,32.3,3,12.46964291,DOPE
40,16,41,3,15.23312059,DOPE
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,17.98206341,DOPE
41.5,40.5,16,2,14.47398367,DOPE
40.5,16,41.5,2,15.72570651,DOPE
41.5,40.5,16.5,1.5,14.63764671,DOPE
40.5,16.5,41.5,1.5,15.89020107,DOPE
42,40.5,16.5,1,14.91076362,DOPE
49,25,24,2,16.86872188,DOPE
48.5,10,40,1.5,14.343031,DSPC
48.5,10,40,1.5,17.98206341,DOPE
48.5,10,40,1.5,11.88644869,DOPE
48.5,10,40,1.5,8.877221176,DOPE
41,40,16,3,14.07835597,DOPE
41,40,16,3,9.306031912,DOPE
41,40,16,3,6.950074466,DOPE
48.5,10,40,1.5,14.343031,DSPC
40,16,41,3,15.23312059,DOPE
40,16,41,3,10.0693509,DOPE
40,16,41,3,7.52014814,DOPE
40.5,16.5,41.5,1.5,15.89020107,DOPE
40.5,16.5,41.5,1.5,10.50369223,DOPE
40.5,16.5,41.5,1.5,7.844529643,DOPE
40,16,41,3,15.23312059,DOPE
40,16,41,3,10.0693509,DOPE
40,16,41,3,7.52014814,DOPE
40.5,16.5,41.5,1.5,15.89020107,DOPE
40.5,16.5,41.5,1.5,10.50369223,DOPE
40.5,16.5,41.5,1.5,7.844529643,DOPE
48.5,10,40,1.5,14.343031,DSPC
49,25,24,2,16.86872188,DOPE
49,25,24,2,11.15051107,DOPE
49,25,24,2,8.327596879,DOPE
48.5,10,40,1.5,14.343031,DSPC
50,7.5,41.5,1,11.41834022,DOPE
50,29,20,1,10.34376213,DOPE
45.5,7.5,45,2,10.47881241,DOPE
50,17.75,30.25,2,10.58994389,DOPE
38,30,30,2,8.356515817,DOPE
38,16,45,1,9.211083767,DOPE
38,23,38,1,8.891852481,DOPE
45.96,24.83,26.71,2.5,9.59856338,DOPE
44.58,19.33,33.08,3,9.516252746,DOPE
50,7.5,39.5,3,10.79855736,DOPE
42.5,30,24.5,3,8.789158454,DOPE
44.71,13.58,39.21,2.5,9.924427289,DOPE
41.46,24.83,32.21,1.5,9.213203287,DOPE
38,14,45,3,8.766920469,DOPE
50,27,20,3,9.9150442,DOPE
47.24,11.19,38.87,2.71,10.33144164,DOPE
48.5,10,40,1.5,10.92222847,DOPE
48.5,10,40,1.5,14.343031,DSPC
49,7.5,41.5,2,19.42041204,DSPC
34.25,18.75,45,2,15.70987342,DSPC
22,30,45,3,11.2192693,DSPC
49,28,20,3,17.76101632,DSPC
44.61,24.89,27.94,2.56,17.31421044,DSPC
32.11,24.89,40.44,2.56,14.60470229,DSPC
49,18.75,31.25,1,19.00750041,DSPC
42.13,18.75,38.13,1,17.77390107,DSPC
45.61,13.64,38.19,2.56,18.21646499,DSPC
44.5,7.5,45,3,18.27353562,DSPC
49,30,20,1,18.27759176,DSPC
34.5,30,32.5,3,14.75114553,DSPC
39.36,24.89,34.19,1.56,16.61008,DSPC
24,30,45,1,12.46688772,DSPC
46.5,7.5,45,1,19.37981918,DSPC
37.36,29.94,31.71,1,16.04448224,DSPC
48.5,10,40,1.5,19.34728513,DSPC
48.5,10,40,1.5,14.343031,DSPC
49,7.5,41.5,2,11.34776106,DOPE
34.25,18.75,45,2,8.630330503,DOPE
22,30,45,3,5.746375559,DOPE
49,28,20,3,10.15734025,DOPE
44.61,24.89,27.94,2.56,9.812051718,DOPE
32.11,24.89,40.44,2.56,7.893697629,DOPE
49,18.75,31.25,1,11.08675917,DOPE
42.13,18.75,38.13,1,10.13512977,DOPE
45.61,13.64,38.19,2.56,10.43848511,DOPE
44.5,7.5,45,3,10.44748395,DOPE
49,30,20,1,10.57169095,DOPE
34.5,30,32.5,3,8.009941019,DOPE
39.36,24.89,34.19,1.56,9.301142352,DOPE
24,30,45,1,6.525773643,DOPE
46.5,7.5,45,1,11.31765932,DOPE
46.37,7.5,44.21,1.92,11.01888288,DOPE
48.5,10,40,1.5,11.30562834,DOPE
48.5,10,40,1.5,9.480986593,DSPC
48.5,10,40,1.5,17.88551615,DSPC
48.5,10,40,1.5,17.94390528,DSPC
48.5,10,40,1.5,18.3291697,DSPC
48.5,10,40,1.5,18.38109198,DSPC
48.5,10,40,1.5,19.03103458,DSPC
48.5,10,40,1.5,19.07349618,DSPC
48.5,10,40,1.5,17.88551615,DSPC
48.5,10,40,1.5,17.94390528,DSPC
48.5,10,40,1.5,18.3291697,DSPC
48.5,10,40,1.5,18.38109198,DSPC
48.5,10,40,1.5,19.03103458,DSPC
48.5,10,40,1.5,19.07349618,DSPC
48.5,10,40,1.5,16.82491214,DSPC
48.5,10,40,1.5,16.91081918,DSPC
48.5,10,40,1.5,16.81357262,DSPC
48.5,10,40,1.5,16.58547122,DSPC
48.5,10,40,1.5,16.99522451,DSPC
48.5,10,40,1.5,16.80884374,DSPC
48.5,10,40,1.5,17.0054786,DSPC
48.5,10,40,1.5,17.10338647,DOPE
48.5,10,40,1.5,16.82491214,DSPC
48.5,10,40,1.5,16.91081918,DSPC
48.5,10,40,1.5,16.81357262,DSPC
48.5,10,40,1.5,16.58547122,DSPC
48.5,10,40,1.5,16.99522451,DSPC
48.5,10,40,1.5,16.80884374,DSPC
48.5,10,40,1.5,17.0054786,DSPC
48.5,10,40,1.5,17.10338647,DOPE
48.5,10,40,1.5,16.07758774,DSPC
48.5,10,40,1.5,16.50454535,DSPC
48.5,10,40,1.5,16.59671966,DSPC
48.5,10,40,1.5,16.07758774,DSPC
48.5,10,40,1.5,16.50454535,DSPC
48.5,10,40,1.5,16.59671966,DSPC
48.5,10,40,1.5,17.16930088,DSPC
48.5,10,40,1.5,17.0054786,DSPC
48.5,10,40,1.5,17.15847938,DSPC
48.5,10,40,1.5,16.81395289,DSPC
48.5,10,40,1.5,16.99522451,DSPC
48.5,10,40,1.5,17.16930088,DSPC
48.5,10,40,1.5,17.0054786,DSPC
48.5,10,40,1.5,17.15847938,DSPC
48.5,10,40,1.5,16.81395289,DSPC
48.5,10,40,1.5,16.99522451,DSPC
48.5,10,40,1.5,17.36945365,DSPC
48.5,10,40,1.5,17.35889865,DSPC
48.5,10,40,1.5,16.87346518,DSPC
48.5,10,40,1.5,17.36945365,DSPC
48.5,10,40,1.5,17.35889865,DSPC
48.5,10,40,1.5,16.87346518,DSPC
48.5,10,40,1.5,17.36945365,DSPC
48.5,10,40,1.5,17.35889865,DSPC
48.5,10,40,1.5,18.0333911,DSPC
48.5,10,40,1.5,16.68738808,DSPC
48.5,10,40,1.5,17.36945365,DSPC
48.5,10,40,1.5,17.35889865,DSPC
48.5,10,40,1.5,18.0333911,DSPC
48.5,10,40,1.5,16.68738808,DSPC
48.5,10,40,1.5,17.78759767,DSPC
48.5,10,40,1.5,18.31729774,DSPC
48.5,10,40,1.5,18.71419039,DSPC
48.5,10,40,1.5,19.34728513,DSPC
48.5,10,40,1.5,18.70678989,DSPC
48.5,10,40,1.5,18.31729774,DSPC
48.5,10,40,1.5,18.71419039,DSPC
48.5,10,40,1.5,19.34728513,DSPC
48.5,10,40,1.5,18.70678989,DSPC
48.5,10,40,1.5,17.62870578,DSPC
48.5,10,40,1.5,17.61880246,DSPC
48.5,10,40,1.5,16.58547122,DSPC
48.5,10,40,1.5,17.70929826,DSPC
48.5,10,40,1.5,18.17273956,DSPC
48.5,10,40,1.5,18.38469122,DSPC
48.5,10,40,1.5,18.90345652,DSPC
48.5,10,40,1.5,18.38469122,DSPC
48.5,10,40,1.5,16.89527599,DSPC
48.5,10,40,1.5,16.89527599,DSPC
48.5,10,40,1.5,16.89527599,DSPC
48.5,10,40,1.5,17.94799221,DSPC
48.5,10,40,1.5,18.38469122,DSPC
48.5,10,40,1.5,19.0764718,DSPC
48.5,10,40,1.5,17.18453431,DSPC
48.5,10,40,1.5,18.58497913,DSPC
48.5,10,40,1.5,16.82518306,DSPC
43.25,25,30,1.75,14.52948326,DSPC
30,25,42.5,2.5,11.10169345,DSPC
38.075,17.975,41.825,2.125,13.72804315,DSPC
37,25,37,1,13.39261658,DSPC
38.5,20.5,38.5,2.5,13.51039532,DSPC
45,9,45,1,16.48290639,DSPC
41.2,22.35,34.325,2.125,14.13138042,DSPC
41.825,14.975,41.825,1.375,15.11942242,DSPC
45,22.5,30,2.5,14.79492927,DSPC
34.325,21.725,41.825,2.125,12.55393718,DSPC
45,7.5,45,2.5,15.93959861,DSPC
45,15.75,37.5,1.75,15.59337013,DSPC
30,24,45,1,11.66031337,DSPC
37.5,15,45,2.5,13.66358165,DSPC
45,24,30,1,15.26186294,DSPC
45,11.382,42.618,1,16.27611859,DSPC
45,13.445,40.445,1,16.11001923,DSPC
45,16.405,37.595,1,15.85662691,DSPC
