smiles,Amine,Encapsulation_Efficiency_EE<50,Encapsulation_Efficiency_50<=EE<80,Encapsulation_Efficiency_80<EE<=100,Delivery_target,Biodistribution_lymph_nodes,Biodistribution_heart,Biodistribution_liver,Biodistribution_spleen,Biodistribution_lung,Biodistribution_kidney,Biodistribution_muscle,quantified_total_luminescence,quantified_delivery,toxic
CCCCCCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCCCCCC)=O)=O,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCCCCN(CCCNC([C@@H](N(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)CO)=O)CCCCCCCCCCCCCC,ser,0,1,0,body,,0.00318490682025255,0.0608074236431031,0.251089505980848,0.0089209591311761,0.0060104870668047,0.669986717357815,0.0815243428420059,-0.72944354,
CCCCCCCCCCCCCCN([C@H](C(NCCCCCCN(CCCCCCCCCCCCCC)CCCCCCCCCCCCCC)=O)CO)CCCCCCCCCCCCCC,ser,1,0,0,body,,,,,,,,,,
O=C(NCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)[C@H]([C@H](O)C)N(CCCCCCCCCCCC)CCCCCCCCCCCC,thr,0,1,0,body,,0.0131160505661734,0.0817206877958181,0.209957462105326,0.0363069917919837,0.0161572104727098,0.642741597267989,0.0248953087459781,-0.816266608,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,0,1,body,,0.00151329913495755,0.0471551068594211,0.0476760649180962,0.0018233532053625,0.0076328758145221,0.89419930006764,0.35502103370942,-0.310121149,
O=C(OC(CCCCCCCC)CCCCCCCC)CCCCCCCN(CCCCCC(OCCCCCCCCCCC)=O)CCO,,0,0,1,body,,0.00235961766437825,0.513627015742916,0.0879412499947796,0.0017582283835455,0.0031125474981191,0.391201340716262,1,0.678754151,0.0
C=CCCCCCCCCC(OCCCCCCN([C@H](C(NCCCN(CCCCCCOC(CCCCCCCCC=C)=O)CCCCCCOC(CCCCCCCCC=C)=O)=O)CO)CCCCCCOC(CCCCCCCCC=C)=O)=O,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCN([C@H](C(NCCCCCCN(CCCCCCCC)CCCCCCCC)=O)CO)CCCCCCCC,ser,1,0,0,body,,,,,,,,,,
O=C(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCCC)=O)CCCCCCOC(CCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCC)=O)CCCCCCCC,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCN([C@H](C(NCCCCCCN(CCCCCCCCCC)CCCCCCCCCC)=O)CO)CCCCCCCCCC,ser,1,0,0,body,,,,,,,,,,
O=C(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCC)=O)CCCCCCOC(CCCCCC)=O)=O)CO)CCCCCCOC(CCCCCC)=O)CCCCCC,ser,1,0,0,body,,,,,,,,,,
O=C(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCC)=O)CCCCCCOC(CCCCC)=O)=O)CO)CCCCCCOC(CCCCC)=O)CCCCC,ser,1,0,0,body,,,,,,,,,,
CCCCCCCCCCCC(OCCCCCCN([C@H](C(NCCCCCCN(CCCCCCOC(CCCCCCCCCCC)=O)CCCCCCOC(CCCCCCCCCCC)=O)=O)CO)CCCCCCOC(CCCCCCCCCCC)=O)=O,ser,0,1,0,body,,0.000230328920605394,0.0259372790881254,0.0734981485145439,0.0005768945963021,0.0008679460389399,0.898889402841483,0.486446282346577,-0.108621272,
O=C(CCN(CCCNC([C@@H](NCCC(OCCCCCCCC)=O)CO)=O)CCC(OCCCCCCCC)=O)OCCCCCCCC,ser,0,1,0,body,,0.00183814880222334,0.508470854676458,0.479298868566087,0.0066436845786843,0.0037484433765476,,0.0806697533656258,-0.730753788,
O=C(CCN(CCCNC([C@@H](NCCC(OCCCCCCCC)=O)CO)=O)CCC(OCCCCCCCC)=O)OCCCCCCCC,ser,0,0,1,body,,0.00446051681777838,0.0286140231457339,0.01484311836534,0.0062979010065269,0.01599114503205,0.929793295632571,0.0275210452544693,-0.812240855,
OC(CC(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)(CC(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O)C(NCCCCCCCCN(CCCCCCCCCCCC)CCCCCCCCCCCC)=O,ser,0,0,1,body,,0.0104002218216073,0.139229779861971,0.807246421461676,0.041233674,0.001889902666745,,0.00406562788429117,-0.848202467,
O=C(CCN([C@H](C(NCCCN(CCC(OCCCCCCCC)=O)CCC(OCCCCCCCC)=O)=O)CO)CCC(OCCCCCCCC)=O)OCCCCCCCC,ser,0,1,0,body,,0.00711911642710361,0.153280595121264,0.136743424441396,0.0628412485834964,0.0734141937722642,0.566601421654476,0.00274865144200139,-0.850221642,
O=C(CCN([C@H](C(NCCCN(CCC(OCCCCCCCC)=O)CCC(OCCCCCCCC)=O)=O)CO)CCC(OCCCCCCCC)=O)OCCCCCCCC,ser,0,1,0,body,,0.106975953776871,0.247623902989694,0.292657465739291,0.229416263063982,0.123326414430162,,0.00104232075563605,-0.852837771,
O=C(CN(CC(O)CCCCCC)CC(O)CCCCCC)NCCCN(CC(O)CCCCCC)CC(O)CCCCCC,gly,0,1,0,body,,0.0386975655052687,0.153034034478582,0.0799184464451532,0.0414429326981307,0.0607210626185958,0.626185958254269,0.00738277288412945,-0.843116653,
O=C(CN(CC(O)CCCCCC)CC(O)CCCCCC)NCCCN(CC(O)CCCCCC)CC(O)CCCCCC,gly,1,0,0,body,,0.135531713474282,0.541180183023036,0.178510571158094,0.0949195329757021,0.0498579993688861,,0.00400946126580805,-0.848288581,
