d_model,num_heads,dropout,weight_decay,cross_attention_layers,learning_rate,classification_dropout,regression_dropout,label_smoothing,early_stopping_patience,token_weight_init_strategy,trial,config_path,avg_rmse,avg_auc,avg_pr_auc
64,8,0.26645538573451194,0.00014663108094352384,2,0.00011777812468125666,0.1388767652418115,0.2931363781216864,0.05,20,chem_focused,25,hyperparam_search_v3/config_trial_25.json,0.37462508036858505,0.8086685914875095,0.6180756750176104
128,8,0.25387829586106014,0.000386465854153607,3,0.00044175292811412056,0.12818820874331033,0.24042578684253774,0.05,25,chem_focused,26,hyperparam_search_v3/config_trial_26.json,0.3621685459382004,0.870793015543255,0.577714957696239
64,2,0.3329840909472067,0.00023929926049203845,2,0.00022252134779267906,0.2469184948216781,0.33397915200727024,0.0,25,balanced,27,hyperparam_search_v3/config_trial_27.json,0.38130418707927066,0.8872539838909499,0.5950383634513083
128,4,0.2622479204655282,7.123387508452806e-05,2,0.00019120158947964636,0.10321397950801256,0.2730892578365425,0.0,20,balanced,28,hyperparam_search_v3/config_trial_28.json,0.3747245925996039,0.8743199922091808,0.6184187838387715
128,2,0.21929981570431048,0.0004853418146370815,3,0.0002537235759197351,0.18134453110131615,0.3089953674241261,0.0,20,chem_focused,29,hyperparam_search_v3/config_trial_29.json,0.40003678513069946,0.8953828545836682,0.6280745661535669
128,4,0.2261496979270233,0.0003348934736144776,4,0.00048317351615344344,0.15199927605696484,0.3487626488440411,0.05,25,chem_focused,30,hyperparam_search_v3/config_trial_30.json,0.3573930035862658,0.8911451081879004,0.6430863154696635
256,2,0.21446661318885224,0.0003096035459903352,2,0.00014367445785712452,0.12053755732657423,0.33625607034348504,0.0,30,balanced,31,hyperparam_search_v3/config_trial_31.json,0.39269820724924404,0.8444677430019826,0.5851153359286307
128,8,0.2610257555997193,0.0004782717090059662,2,0.0003792829011923992,0.15304016705723839,0.2683937906419725,0.05,20,chem_focused,32,hyperparam_search_v3/config_trial_32.json,0.37727211436463726,0.8960295771638217,0.623663686617827
64,2,0.28385622860631465,0.0004611387362148378,4,0.0003879156390821037,0.19194345625452108,0.327569291688411,0.05,25,chem_focused,33,hyperparam_search_v3/config_trial_33.json,0.3896212141133017,0.8974896096383705,0.5940386183029798
128,8,0.30602009210493497,5.542484011372533e-05,2,0.00025149328452535633,0.11522985652404859,0.3141686630546015,0.0,25,chem_focused,34,hyperparam_search_v3/config_trial_34.json,0.35449487571087146,0.8886846948823309,0.6518225485130701
